,CATEGORIE,long,lat,Address,Neighborhood
830,Vol dans / sur véhicule à moteur,-73.57544545088825,45.5002171332271,"1145, Boulevard De Maisonneuve Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3A 1N6, Canada",
831,Méfait,-73.5509013540162,45.56427224264611,"3265, Rue Viau, Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1V 3J3, Canada",
832,Méfait,-73.66884929948534,45.53419653286089,"2032, Rue Robertine-Barry, Nouveau-Bordeau, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4N 3L5, Canada",
833,Vol dans / sur véhicule à moteur,-73.55531750446669,45.594838444902344,"6947, Boulevard des Galeries-d'Anjou, Anjou, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1M 2W2, Canada",
834,Vol de véhicule à moteur,-73.59301864675304,45.517445294158634,"438, Rue Villeneuve Ouest, Mile End, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 2R1, Canada",
835,Introduction,-73.57547961574843,45.46528006719422,"3900, Rue Bannantyne, Verdun-Centre, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 1G5, Canada",
836,Vol dans / sur véhicule à moteur,-73.72421094689624,45.49480720482118,"4205, Boulevard Poirier, Bois-Francs, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4S 1Z1, Canada",
837,Vol dans / sur véhicule à moteur,-73.80988727837122,45.472402894296295,"4225, Autoroute Félix-Leclerc, Pointe-Claire, Agglomération de Montréal, Montréal (06), Québec, H9P 1J3, Canada",
838,Vol de véhicule à moteur,-73.64506859032451,45.445582645944356,"150, Rue Saint-Jacques, Saint-Pierre, Vieux-Lachine, Arrondissement de Lachine, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8R 1L8, Canada",
839,Introduction,-73.57748070623286,45.49805363559295,"Rue Crescent et boulevard De Maisonneuve, Rue Crescent, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3G 2B2, Canada",
840,Vol dans / sur véhicule à moteur,-73.58634940607111,45.43934765811496,"7147, Rue Churchill, Desmarchais-Crawford, Verdun, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4H 2K8, Canada",
